Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.762604379,3.016694354,3.241655329,3.395866455
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.082405478,-0.846098521,1.791930334,0.128446002,-1.174065094,0.652585418,-15.05436295,-0.25496588,17.83286303,4.09382011,3.800000319
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.507887216,-0.392383488,-2.477917765,1.328726513,0.052371054,3.868844164,1.133573406,-1.590762481,-1.62833154,1.127644192,4.200372735
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.881085507,6.660801289,8.475943392,2.086845227,3.501871857,5.755148512,-10.21839742,4.421367389,5.213867838,4.882593963,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.69714422,-4.851325046,7.204424759,4.11437856,4.18869239,3.031773371,-8.728882411,11.91627241,5.486017064,3.208068122,-2.989868795
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3.1,0.899999997,0.982919996,0.453901882,0.69996839,1.539632475
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.873466778,0.649971002,1.038550925,3.033834912,2.742963449,1.908431946,-5.038233435,5.950528028,4.189036281,1.528745508,1.528081109
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.262021274,4.001782991,2.807055342,5.107007659,5.064130423,4.026711247,-3.315368105,6.546076817,4.036664142,0.763278132,1.963305524
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.349881415,1.644627508,2.06868969,1.362799655,2.860445794,1.14198219,-2.14173712,5.559620206,3.04406103,0.683328174,1.302333325
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.427101785,0.374367084,1.213024077,1.806481314,1.122243566,1.573355962,-8.896779266,9.93680137,5.341961404,3.715005904,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.792649471,2.1519425,1.753038749,1.357695373,3.990029478,0.634367534,-6.143474792,11.31492049,2.153993562,0.521367977,2.644311549
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.461900282,6.978780027,6.775555628,6.891266362,6.756718002,6.068502351,2.340188431,8.570085132,3.134188872,5.414843301,4.977356592
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.371999942,7.194949427,7.17275964,7.410762426,4.843146059,6.721371676,0.699728593,7.063329102,6.399883627,6.450457969,5.95
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.719818145,5.666952987,4.535794237,3.541176549,3.955514239,3.475059982,0.259932916,3.338857472,3.736784006,3.248344978,3.670742847
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.470288099,6.916167119,2.399398911,3.726947659,5.8211211,4.384528874,1.735422767,6.200154011,8.924447851,8.609089723,6.67593029
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.646065409,0.415193061,-8.685243439,-5.594773719,-2.304317801,1.12447392,-6.26777228,1.01507037,1.475356132,1.906864263,2.579666395
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.185914138,10.80119819,7.328277294,0.712380032,1.74380145
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.89569329,1.992064687,2.780228542,5.596189521,4.059605937,3.628770244,4.005317935,2.725798451,2.818395066,3.064662369,3.388783506
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.69666684,0.936026508,4.280714827,4.55131481,3.706964583,6.947826341,-20.8052759,7.033530107,15.84367568,5.391144274,7.271881472
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.542109878,3.652080968,4.204323252,4.157698963,2.615904404,2.417511818,-4.273354322,7.935762247,4.55149178,5.111921832,4.321224296
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.561656764,-0.130958705,-3.025265497,-0.787701926,1.231056407,0.919134168,-9.113253104,6.47906911,15.01815716,9.007951962,13.34432587
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.047576632,4.438333589,0.512843096,1.809791772,2.247948541,-0.163087224,-10.9490846,1.253693425,1.775048798,-1.929371232,
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.637397373,0.458151544,-1.067708487,-1.276208101,-2.104111331,-3.206131719,-18.43847035,4.183711931,7.923,4.202,
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.654527985,2.833122226,3.239974339,3.184045923,4.267267452,3.915635342,-4.954806408,4.904929413,5.156329542,4.359675957,
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.776058677,3.418920389,6.573590809,5.750832366,6.271663601,5.875595834,-3.220630186,11.38818927,7.204867807,2.763909754,3.448061704
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.245212199,4.958758489,2.580870139,5.1735653,2.830305883,3.565776581,-5.304879555,4.029018321,2.847170658,-0.05526182,1.120384627
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.169498898,1.652719787,2.294710664,2.716024546,1.116443109,0.98789335,-4.095137517,3.669999884,1.369731046,-0.266438401,-0.238526858
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.192987285,7.308985635,7.123432337,5.458091517,4.774339349,5.545080812,1.202115173,4.407156676,5.166537029,7.372071487,5.953829989
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.335217421,-3.373382625,1.447245565,-7.544363755,2.96401061,3.948097579,-15.70640245,5.37983839,10.39680766,3.652210122,2.052738473
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.277999832,2.104414564,3.073045492,3.056477239,1.86000749,1.711400939,-1.780106018,7.382066334,1.540173074,2.495184345,3.67619735
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.111226297,6.987711312,6.719740787,3.933861764,7.097516402,4.894030115,-7.929052342,14.01242891,5.237956529,2.192298482,4.951696872
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.099999999,3.200000001,3.9,1.499999999,1.400000001,0.899999999,-4.999999999,3.799999999,3.600000001,4.1,3.299999999
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.022979697,6.661428219,6.510077292,6.666690914,6.537190092,5.885793589,1.345288965,7.719798659,3.545375004,5.254778219,4.962599562
Early-demographic dividend,EAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.134333178,4.413747216,4.403902718,4.648945068,3.841097654,2.387191247,-4.215304366,7.5064814,5.960194603,4.61090087,3.582461041
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.802990053,4.720185771,4.646374698,5.049621897,4.784312839,4.043729245,-0.054128673,6.339735835,2.990471595,4.193954951,3.894593151
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.361947301,3.569412736,2.781793574,5.819172013,3.497398368,2.306489344,0.295023817,9.044767936,3.105834461,5.075840028,3.751939096
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.943633541,2.098006806,1.881967805,2.873175145,2.124173249,1.85681538,-5.407884962,6.766424481,3.30115667,1.069446516,1.515784511
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.226065204,0.119692109,-0.687954246,5.97039881,1.044294607,0.165404465,-9.245096192,9.42189269,5.868423549,1.98823814,-2.001254763
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.91591188,4.372019078,4.346643456,4.181221,5.331108619,5.552093072,3.550164838,3.290646012,6.587845609,3.760280523,2.399169268
Euro area,EMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.452001039,2.141031946,1.822468563,2.597494935,1.770512572,1.627560572,-6.046391112,6.358447428,3.543154143,0.418696305,0.863297008
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.520485936,4.060866725,2.915155986,2.896042079,2.395411245,1.961178508,-10.94007064,6.683144205,6.1793122,2.675663463,3.150195645
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.322789882,1.838152629,3.093019208,5.63467249,3.699697562,3.726649435,-2.883807515,7.154446763,0.060430517,-3.023038745,-0.26100621
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.25749296,10.39246302,9.433482658,9.564189658,6.816147786,8.364085733,6.059530891,5.641530693,5.321759884,6.594245994,7.316691128
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.629358062,2.370479841,1.946116118,2.794143052,2.054041412,1.877158567,-5.573432884,6.357135857,3.492143847,0.455502396,1.025367827
Fragile and conflict affected situations,FCS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.333989595,0.812898812,2.157600082,2.568696399,2.750061467,2.313661241,-5.023115941,2.440370296,1.239995316,1.961882638,1.6539895
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.478068425,0.466503766,2.571934149,3.303370036,1.192977597,1.349738457,-2.491036055,2.676346415,0.763041913,-0.946904863,-0.154214821
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.603514406,4.50120041,2.445651797,5.35336456,3.812351222,-0.581946709,-17.03866737,-4.881036196,19.79272669,7.524291351,3.828998887
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.997832947,1.066754748,0.860031075,2.08361486,1.645908724,2.027446464,-7.440645899,6.882337834,2.570840476,0.936487519,1.166138515
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.432142068,0.958001934,1.386447959,3.512013675,2.763709523,4.538510287,-1.63732118,5.504380173,3.556023804,2.489058117,
