Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
East Asia & Pacific (excluding high income),EAP,2040383789,2056050896,2071486140,2087238522,2100698838,2112289891,2121866294,2128553744,2133560408,2137527754,2141122258
Early-demographic dividend,EAR,3146800078,3190318707,3233033717,3274060446,3314245247,3355014793,3396051187,3432026092,3470644834,3511607650,3552278604
East Asia & Pacific,EAS,2284385542,2300844269,2317076058,2333475520,2347576325,2359771090,2369438682,2375144416,2379648196,2384479340,2388378491
Europe & Central Asia (excluding high income),ECA,238114658,240232789,242410814,244533821,246659127,248863066,250660609,252189631,250840400,249053262,250485944
Europe & Central Asia,ECS,903676408,907676898,911765648,915290996,918947897,922218554,923973838,924702975,925061269,925640799,928465742
Ecuador,ECU,16035124,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083,18135478
"Egypt, Arab Rep.",EGY,97528654,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772,116538258
Euro area,EMU,342228563,343180482,344132977,344810179,345864630,346496601,346986142,347207191,348700885,350292725,351125804
Eritrea,ERI,3095173,3105546,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390,3535603
Spain,ESP,46460733,46422303,46458139,46571232,46782011,47118501,47359424,47443821,47786102,48347910,48807137
Estonia,EST,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286,1371986
Ethiopia,ETH,101115610,103867135,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767
European Union,EUU,442920819,443793218,444676652,445321060,446329890,446910453,446870959,446227358,447703403,449425965,450185396
Fragile and conflict affected situations,FCS,871345375,890869511,910836458,931222867,951851595,973035228,994901090,1016906998,1036390026,1057033168,1081767572
Finland,FIN,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,5637214
Fiji,FJI,917585,918578,919166,918759,917180,914899,914963,916711,919422,924145,928784
France,FRA,66312067,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68065015,68287487,68516699
Faroe Islands,FRO,48428,48901,49464,50180,50996,51793,52567,53305,53927,54439,54719
"Micronesia, Fed. Sts.",FSM,108396,108716,109075,109481,109909,110282,110916,111624,112114,112630,113160
Gabon,GAB,1978399,2040989,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789,2538952
United Kingdom,GBR,64620000,65088000,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000,69226000
Georgia,GEO,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483,3673850
Ghana,GHA,28041592,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414
Gibraltar,GIB,32813,33193,33658,34245,34854,35494,36173,36858,37609,38471,39329
Guinea,GIN,11472924,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468,14754785
"Gambia, The",GMB,2164528,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845,2759988
Guinea-Bissau,GNB,1741122,1786457,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339,2201352
Equatorial Guinea,GNQ,1399828,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549,1892516
Greece,GRC,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10405588,10388805
Grenada,GRD,114132,114676,115130,115438,115691,115981,116341,116688,116913,117081,117207
Greenland,GRL,56295,56114,56186,56172,56023,56225,56367,56653,56661,56865,56836
Guatemala,GTM,15681725,15971743,16268760,16567357,16845685,17103803,17357325,17598650,17847877,18124838,18406359
Guam,GUM,165486,164905,164233,163490,162679,161808,162158,163730,165180,166506,167777
Guyana,GUY,754229,758781,763548,768479,791556,807665,807481,815482,821637,826353,831087
High income,HIC,1357496263,1366013616,1374284415,1380319892,1385103279,1389779202,1393490142,1391839631,1398530204,1408764584,1417871275
"Hong Kong SAR, China",HKG,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100,7524100
Honduras,HND,9063122,9237305,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851,10825703
Heavily indebted poor countries (HIPC),HPC,714769441,735429414,756895035,779389964,802020674,824649053,847743308,870930036,893906294,917304254,941413026
Croatia,HRV,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866300
Haiti,HTI,10373235,10523242,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398,11772557
Hungary,HUN,9833038,9797755,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186,9562314
IBRD only,IBD,4630723215,4676922961,4721753602,4765998583,4807240463,4845361414,4878606096,4905534420,4928522353,4952554878,4979720059
IDA & IBRD total,IBT,6201723115,6281111240,6360340293,6440236993,6518316997,6594502842,6666779721,6732972939,6795050443,6858864199,6926456321
IDA total,IDA,1570999900,1604188279,1638586691,1674238410,1711076534,1749141428,1788173625,1827438519,1866528090,1906309321,1946736262
IDA blend,IDB,555868551,567234056,578463670,590024074,601951913,614017319,626440308,639196319,651895919,664395892,676957651
Indonesia,IDN,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931
IDA only,IDX,1015131349,1036954223,1060123021,1084214336,1109124621,1135124109,1161733317,1188242200,1214632171,1241913429,1269778611
Isle of Man,IMN,83892,83593,83466,83609,83805,83957,84064,84106,84132,84165,84160
India,IND,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791
Not classified,INX,,,,,,,,,,,
Ireland,IRL,4657740,4701957,4762722,4827445,4898022,4976456,5039747,5110585,5212836,5307600,5380257
"Iran, Islamic Rep.",IRN,81502045,82619362,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707,91567738
Iraq,IRQ,36550059,37560535,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049,46042015
Iceland,ISL,327386,330815,335439,343400,352721,360563,366463,372520,382003,393349,404610
Israel,ISR,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9849000,9974400
Italy,ITA,60320707,60229605,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58993475,58986023
Jamaica,JAM,2793749,2802534,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786,2839175
Jordan,JOR,8791710,9544729,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213,11552876
Japan,JPN,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650,123975371
Kazakhstan,KAZ,17816285,18084169,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104,20592571
Kenya,KEN,46051440,47088526,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,56432944
Kyrgyz Republic,KGZ,5905848,6040036,6175338,6306696,6444079,6590211,6726596,6851224,6975220,7099750,7224614
Cambodia,KHM,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Kiribati,KIR,115326,116815,118478,120275,122084,123921,126099,128377,130469,132530,134518
St. Kitts and Nevis,KNA,47089,47087,47075,47050,47008,46952,46870,46763,46709,46758,46843
"Korea, Rep.",KOR,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,51751065
Kuwait,KWT,3665876,3834574,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420,4973861
