economy,year,economy_code,unemployment_with_basic_education_(%_of_total_labor_force_with_basic_education),education_level,unemployment_with_intermediate_education_(%_of_total_labor_force_with_intermediate_education),unemployment_with_advanced_education_(%_of_total_labor_force_with_advanced_education)
Moldova,2024,MDA,,Advanced,,2.372
Monaco,2016,MCO,,Advanced,,6.17
Mongolia,2023,MNG,,Advanced,,3.805
Montenegro,2023,MNE,,Advanced,,8.864
Morocco,2022,MAR,,Advanced,,25.85
Mozambique,2022,MOZ,,Advanced,,9.301
Myanmar,2020,MMR,,Advanced,,0.78
Namibia,2018,NAM,,Advanced,,12.18
Nauru,2021,NRU,,Advanced,,2.283
Nepal,2017,NPL,,Advanced,,8.325
Netherlands,2024,NLD,,Advanced,,2.771
New Caledonia,2022,NCL,,Advanced,,3.372
New Zealand,2020,NZL,,Advanced,,2.93
Nicaragua,2024,NIC,,Advanced,,
Niger,2022,NER,,Advanced,,4.617
Nigeria,2024,NGA,,Advanced,,9.197
North Macedonia,2024,MKD,,Advanced,,7.299
Northern Mariana Islands,2024,MNP,,Advanced,,
Norway,2024,NOR,,Advanced,,2.712
Oman,2021,OMN,,Advanced,,4.52
Pakistan,2021,PAK,,Advanced,,16.149
Palau,2020,PLW,,Advanced,,0.509
Panama,2024,PAN,,Advanced,,7.04
Papua New Guinea,2022,PNG,,Advanced,,4.244
Paraguay,2017,PRY,,Advanced,,2.762
Peru,2024,PER,,Advanced,,5.81
Philippines,2023,PHL,,Advanced,,3.352
Poland,2024,POL,,Advanced,,1.35
Portugal,2024,PRT,,Advanced,,4.651
Puerto Rico,2020,PRI,,Advanced,,9.296
Qatar,2021,QAT,,Advanced,,0.28
Romania,2024,ROU,,Advanced,,1.904
Russian Federation,2024,RUS,,Advanced,,1.467
Rwanda,2024,RWA,,Advanced,,11.354
Samoa,2022,WSM,,Advanced,,3.181
San Marino,2022,SMR,,Advanced,,6.54
Sao Tome and Principe,2024,STP,,Advanced,,
Saudi Arabia,2024,SAU,,Advanced,,5.108
Senegal,2024,SEN,,Advanced,,13.61
Serbia,2024,SRB,,Advanced,,5.931
Seychelles,2024,SYC,,Advanced,,1.73
Sierra Leone,2018,SLE,,Advanced,,4.867
Singapore,2024,SGP,,Advanced,,2.797
Sint Maarten (Dutch part),2024,SXM,,Advanced,,
Slovak Republic,2024,SVK,,Advanced,,2.024
Slovenia,2024,SVN,,Advanced,,2.064
Solomon Islands,2024,SLB,,Advanced,,
Somalia,2019,SOM,,Advanced,,18.958
South Africa,2024,ZAF,,Advanced,,12.771
South Sudan,2024,SSD,,Advanced,,
Spain,2024,ESP,,Advanced,,6.899
Sri Lanka,2022,LKA,,Advanced,,5.366
St. Kitts and Nevis,2024,KNA,,Advanced,,
St. Lucia,2024,LCA,,Advanced,,6.739
St. Martin (French part),2024,MAF,,Advanced,,
St. Vincent and the Grenadines,2024,VCT,,Advanced,,
Sudan,2022,SDN,,Advanced,,22.381
Suriname,2016,SUR,,Advanced,,3.606
Sweden,2024,SWE,,Advanced,,4.762
Switzerland,2024,CHE,,Advanced,,3.414
Syrian Arab Republic,2024,SYR,,Advanced,,
Tajikistan,2016,TJK,,Advanced,,0.241
Tanzania,2020,TZA,,Advanced,,6.36
Thailand,2024,THA,,Advanced,,1.707
Timor-Leste,2022,TLS,,Advanced,,2.343
Togo,2022,TGO,,Advanced,,7.068
Tonga,2023,TON,,Advanced,,0.826
Trinidad and Tobago,2023,TTO,,Advanced,,2.579
Tunisia,2023,TUN,,Advanced,,21.715
Turkiye,2024,TUR,,Advanced,,9.129
Turkmenistan,2024,TKM,,Advanced,,
Turks and Caicos Islands,2024,TCA,,Advanced,,
Tuvalu,2017,TUV,,Advanced,,2.978
Uganda,2021,UGA,,Advanced,,9.947
Ukraine,2021,UKR,,Advanced,,9.026
United Arab Emirates,2023,ARE,,Advanced,,2.659
United Kingdom,2024,GBR,,Advanced,,2.733
United States,2024,USA,,Advanced,,2.608
Uruguay,2024,URY,,Advanced,,1.909
Uzbekistan,2020,UZB,,Advanced,,1.508
Vanuatu,2020,VUT,,Advanced,,2.113
"Venezuela, RB",2017,VEN,,Advanced,,5.76
Vietnam,2023,VNM,,Advanced,,2.688
Virgin Islands (U.S.),2024,VIR,,Advanced,,
West Bank and Gaza,2024,PSE,,Advanced,,25.808
"Yemen, Rep.",2024,YEM,,Advanced,,
Zambia,2023,ZMB,,Advanced,,9.702
Zimbabwe,2023,ZWE,,Advanced,,5.933
